id,input_data,action,model_type,model,framework/library,github__stars1000,citations,open_source/proprietary,license,inference__times,model_sizemb,model_size_normalizedmb,memory_requirementtraining,memory_requirement_normalized__,hardware_aceelerators,minimum_cpu/gpu/tpu_normalized,detailed__documentation?,documentation_link,institution,institution_numeric,repository_link,paper_link
1,Text," Identify and classify named entities such as people, organizations, locations, and more",Named Entity Recognition,Bidirectional-LSTM,Tensorflow,0.35,1678.0,Open source,GPL-3.0 license,,1.147,,4-8 GB,,GPU,1.0,Yes,tf.keras.layers.Bidirectional  |  TensorFlow Core v2.9.1,Kamal Kraj,0.0,https://github.com/kamalkraj/Named-Entity-Recognition-with-Bidirectional-LSTM-CNNs,https://direct.mit.edu/tacl/article-abstract/doi/10.1162/tacl_a_00104/43361
2,Text," Identify and classify named entities such as people, organizations, locations, and more",Named Entity Recognition,BERT,Tensorflow,36.4,41077.0,Open source,Apache-2.0 license,,0.317,,16-32 GB,,GPU/TPU,1.0,Yes,BERT — transformers 3.0.2 documentation (huggingface.co),Google,1.0,https://github.com/google-research/bert.git,https://arxiv.org/abs/1810.04805
3,Text," Identify and classify named entities such as people, organizations, locations, and more",Named Entity Recognition,Flair,PyTorch,13.4,10182.0,Open source,MIT license,,7.811,,8-16 GB,,GPU,1.0,Yes,flair/resources/docs at master · flairNLP/flair (github.com),Flair,1.0,https://github.com/flairNLP/flair.git,https://www.sciencedirect.com/science/article/pii/S0165178121004315?casa_token=MYCbWhrKM8AAAAAA:ZTFZqUZTOFadjpPgZf0pAq51gcBiMBANaEcx4jL7v7TvsP2XGlaImGmyYmyhy_16u15IAM1RJmk
4,Text," Identify and classify named entities such as people, organizations, locations, and more",Named Entity Recognition,Sequence_tagging,Tensorflow,1.9,2509.0,Open source,Apache-2.0 license,,0.056,,4-8 GB,,GPU,1.0,No,flair PyTorch Model - Model Zoo,Guillaume Genthial ,0.0,https://github.com/guillaumegenthial/sequence_tagging.git,1603.01354v5.pdf (arxiv.org)
5,Text," Identify and classify named entities such as people, organizations, locations, and more",Named Entity Recognition,gluon_nlp,mxnet,2.6,10232.0,Open source,Apache-2.0 license,,11.376,,8-16 GB,,GPU,1.0,Yes,GluonNLP: NLP made easy — gluonnlp 0.10.0 documentation,Gluon,1.0,https://github.com/dmlc/gluon-nlp.git,https://www.sciencedirect.com/science/article/pii/S0165178121004315?casa_token=vsCuYugpM8sAAAAA:JPy2HqdqN7lullppd2NTHmqQGgfCyWOzQSMYEQMaKZfTlWUtTZQSnhNsfkLBBJFqR-cMDLJH6hQ
6,Text," Identify and classify named entities such as people, organizations, locations, and more",Named Entity Recognition,tf_ner,Tensorflow,0.93,2524.0,Open source,Apache-2.0 license,,0.147,,4-8 GB,,GPU,1.0,No,https://github.com/guillaumegenthial/tf_ner/blob/master/README.md,Guillaume Genthial,0.0,https://github.com/guillaumegenthial/tf_ner.git,https://arxiv.org/abs/1603.01354
7,Text," Identify and classify named entities such as people, organizations, locations, and more",Named Entity Recognition,ERNIE,Paddle,6.1,475.0,Open source,MIT license,,127.429,,16-32 GB,,GPU,1.0,Yes,https://github.com/PaddlePaddle/ERNIE.git,n.a,0.0,https://github.com/PaddlePaddle/ERNIE.git,https://arxiv.org/abs/1904.09223
8,Text,"assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.",Part-of-Speech(POS) tagging,Transformer XL,Tensorflow,3.2,1969.0,Open source,Apache-2.0 license,,0.115,,32-64 GB,,GPU/TPU,2.0,Yes,Transformer XL — transformers 3.0.2 documentation (huggingface.co),Kimi Young,0.0,https://github.com/kimiyoung/transformer-xl.git,https://arxiv.org/abs/1901.02860
9,Text,"assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.",Part-of-Speech(POS) tagging,Sequence_tagging,Tensorflow,1.9,2509.0,Open source,Apache-2.0 license,,0.056,,4-8 GB,,GPU,1.0,No,N.a,Guillaume Genthial ,0.0,guillaumegenthial/sequence_tagging: Named Entity Recognition (LSTM + CRF) - Tensorflow (github.com),End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF (aclanthology.org)
10,Text,"assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.",Part-of-Speech(POS) tagging,zh-ner-tf,Tensorflow,2.1,3156.0,Open source,Apache-2.0 license,,112.39,,4-8 GB,,GPU,1.0,No,N.a,Penghui Wei,0.0,Determined22/zh-NER-TF: A very simple BiLSTM-CRF model for Chinese Named Entity Recognition 中文命名实体识别 (TensorFlow) (github.com),1508.01991v1.pdf (arxiv.org)
11,Text,"assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.",Part-of-Speech(POS) tagging,NCRF,PyTorch,1.8,164.0,Open source,Apache-2.0 license,,7.125,,4-8 GB,,GPU,1.0,No,N.a,Jie Yang,0.0,"jiesutd/NCRFpp: NCRF++, a Neural Sequence Labeling Toolkit. Easy use to any sequence labeling tasks (e.g. NER, POS, Segmentation). It includes character LSTM/CNN, word LSTM/CNN and softmax/CRF components. (github.com)",[1806.05626] NCRF++: An Open-source Neural Sequence Labeling Toolkit (arxiv.org)
12,Text,"assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.",Part-of-Speech(POS) tagging,targer,PyTorch,0.2,2509.0,Open source,Apache-2.0 license,,120.053,,4-8 GB,,GPU,1.0,No,N.a,Artem Chernodub,0.0,https://github.com/achernodub/targer.git,End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF (aclanthology.org)
13,Text,"assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.",Part-of-Speech(POS) tagging,tf_ner,Tensorflow,0.9,2542.0,Open source,Apache-2.0,,0.147,,4-8 GB,,GPU,1.0,Yes,https://github.com/guillaumegenthial/tf_ner.git,Guillaume Genthial ,0.0,https://github.com/guillaumegenthial/tf_ner.git,https://arxiv.org/abs/1603.01354
14,Text,"assign a part-of-speech tag (e.g., noun, verb, adjective) to each word in the text.",Part-of-Speech(POS) tagging,rnnmorph,?,0.1,434.0,Open source,Apache-2.0,,10.806,,2-4 GB,,CPU,2.0,No,N.a,Ilya Gusev,0.0,https://github.com/IlyaGusev/rnnmorph.git,https://arxiv.org/abs/1604.05529
15,Text,provide answers to questions based on the input data.,Question Answering,BERT_Tensorflow,Tensorflow,0.3,1926.0,Open source,Apache-2.0 license,,93.306,,16-32 GB,,GPU/TPU,1.0,Yes,BERT — transformers 3.0.2 documentation (huggingface.co),Google,1.0,https://github.com/huggingface/tflite-android-transformers.git,https://arxiv.org/abs/1910.01108
16,Text,provide answers to questions based on the input data.,Question Answering,RoBERTa,PyTorch,17.2,3595.0,Open source,MIT license,,22.259,,16-32 GB,,GPU,1.0,Yes,RoBERTa (huggingface.co),Facebook,1.0,https://github.com/facebookresearch/fairseq.git,https://arxiv.org/abs/1907.11692
17,Text,provide answers to questions based on the input data.,Question Answering,roberta-base-squad-2,Haystack,4.9,3595.0,Open source,Apache-2.0 license,,16.914,,16-32 GB,,GPU,1.0,No,N.a,deepset ai,1.0,https://github.com/deepset-ai/haystack,https://arxiv.org/abs/1907.11692
18,Text,provide answers to questions based on the input data.,Question Answering,BERT_DeepPavlov,DeepPavlov,5.8,43268.0,Open source,Apache-2.0 license,,40.068,,16-32 GB,,GPU,1.0,Yes,BERT in DeepPavlov — DeepPavlov 0.17.4 documentation,DeepPavlov lab,1.0,deepmipt/DeepPavlov: An open source library for deep learning end-to-end dialog systems and chatbots. (github.com),
19,Text,provide answers to questions based on the input data.,Question Answering,Transformers,Paddle,4.6,46166.0,Open source,Apache-2.0 license,,74.249,,16-32 GB,,GPU,1.0,Yes,paddlenlp.transformers — PaddleNLP documentation,Paddle,1.0,"PaddlePaddle/PaddleNLP: Easy-to-use and powerful NLP library with Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including Neural Search, Question Answering, Information Extraction and Sentiment Analysis end-to-end system. (github.com)",
20,Text,provide answers to questions based on the input data.,Question Answering,ParlAI,PyTorch,8.9,268.0,Open source,MIT license,,96.427,,8-16 GB,,GPU,1.0,Yes,https://github.com/facebookresearch/ParlAI.git,Facebook,1.0,https://github.com/facebookresearch/ParlAI.git,https://arxiv.org/abs/1705.06476
21,Text,provide answers to questions based on the input data.,Question Answering,haystack,PyTorch,5.0,676.0,Open source,Apache-2.0 license,,18.494,,16-32 GB,,GPU,1.0,Yes,https://github.com/deepset-ai/haystack.git,deepset ai,1.0,https://github.com/deepset-ai/haystack.git,https://arxiv.org/abs/2004.04906
22,Text, Generate a concise summary of the input text.,Text summarization,Seq2seq with Attention,Tensorflow,0.7,150.0,Open source,MIT license,,4.374,,8-16 GB,,GPU,1.0,Yes,yaserkl/RLSeq2Seq: Deep Reinforcement Learning For Sequence to Sequence Models (github.com),Google,1.0,https://github.com/yaserkl/RLSeq2Seq.git,https://ieeexplore.ieee.org/abstract/document/8801910/
23,Text, Generate a concise summary of the input text.,Text summarization,Fairseq,PyTorch,17.2,1555.0,Open source,MIT license,,22.243,,16-32 GB,,GPU,1.0,Yes,fairseq documentation — fairseq 0.12.2 documentation,Facebook,1.0,https://github.com/facebookresearch/fairseq.git,https://arxiv.org/abs/1904.01038
24,Text, Generate a concise summary of the input text.,Text summarization,Pegasus,Tensorflow,1.3,610.0,Open source,Apache 2.0 license,,0.357,,32-64 GB,,GPU/TPU,2.0,Yes,Pegasus (huggingface.co),Google,1.0,Google AI Blog: PEGASUS: A State-of-the-Art Model for Abstractive Text Summarization (googleblog.com),google-research/pegasus (github.com)
25,Text, Generate a concise summary of the input text.,Text summarization,BigBird,Tensorflow,0.4,528.0,Open source,Apache 2.0 license,,1.478,,32-64 GB,,GPU/TPU,2.0,Yes,BigBird — transformers 4.7.0 documentation (huggingface.co),Google,1.0,google-research/bigbird: Transformers for Longer Sequences (github.com),[2007.14062] Big Bird: Transformers for Longer Sequences (arxiv.org)
26,Text, Generate a concise summary of the input text.,Text summarization,Pointer-Generator network,Tensorflow,2.1,2258.0,Open source,Apache 2.0 license,,0.074,,8-16 GB,,GPU,1.0,No,N.a,Abi See,0.0,"abisee/pointer-generator: Code for the ACL 2017 paper ""Get To The Point: Summarization with Pointer-Generator Networks"" (github.com)",[1704.04368] Get To The Point: Summarization with Pointer-Generator Networks (arxiv.org)
